PARTID,ReligFraim,defect,Condition,gen,age,edu,ethnic,ethnic_TEXT,Nationality,lang,income,SC,FC,relig,CompFail1,CompFail2,CompFail3,CompFail4,CompFail1B,CompFail2B,CompFail3B,CompFail4B,TG_DV,Free_list,1st,LIST1,2nd,LIST2,3rd,LIST3,4th,LIST4,5th,LIST5,6th,LIST6,7th,LIST7,8th,LIST8,9th,LIST9,10th,LIST10,11th,LIST11,12th,LIST12,13th,LIST13,14th,LIST14,15th,LIST15,16th,LIST16,17th,LIST17,relig_chage,relig_chage_TEXT,new_Relig,new_Relig_TEXT,belief_levelChange,unsure_god,relig_service,pray,relig_text,god_belife,relig_tradition,god_experience,what_we_lookingat,were the Qs respect,changes to Qs,these_kinds_study,these_kinds_contin,Real
R_1n9GcHCSVQpJmAy,1,0,4,2,65,5,1,NA,American,English,5,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lying / Cheating / Greed / Stealing / Adultery / Dishonor parents / Idol worship / Envy / Murder / Sloth / Hate /  / ,Lying,Dishonesty,Cheating,Cheating,Greed,Greed,Stealing,Theft,Adultery,Adultery,Dishonorparents,Disrespectful of Parents,Idolworship,Idolatry,Envy,Envy,Murder,Murder,Sloth,Laziness,Hate,Hatred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,My belief system is more questioning than it was when I was young.,8,NA,8,6,7,9,7,9,7,4,Religious belief.,Yes.,At what age did your religious training begin?,1200,3,NA
R_1NDQuZWMvyZexO5,0,1,4,2,33,4,2,NA,AfRican American,English ,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hate / Killings / Evil / Theft / Robberies / Lust / Disrespectful people / Norman love / No prayer / Ungrateful  / ,Hate,Hatred,Killings,Murder,Evil,Evil,Theft,Theft,Robberies,Theft,Lust,Lust,Disrespectfulpeople,Disrespectful,Normanlove,Unloving,Noprayer,Not Praying,Ungrateful,Ungratefulness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,9,2,3,4,2,9,3,5,"Your surroundings, and how well you pay attention to details.","It was ok, I was not offended.",No,100,3,NA
R_1nU5To1Fx5QuzUP,1,0,1,2,29,4,1,NA,USA,English,1,4,4,1,1,1,3,2,NA,NA,NA,NA,0,Sin / Dishonesty / Murder / Adultery  / Mistreatment of fellow humans / Mistreatment of animals / Blasphemy / Rape / Worshiping another god / Not respecting parents ,Sin,Sin,Dishonesty,Dishonesty,Murder,Murder,Adultery,Adultery,Mistreatmentoffellowhumans,Cruelty,Mistreatmentofanimals,Abusing Animals,Blasphemy,Blasphemy,Rape,Rape,Worshipinganothergod,Idolatry,Notrespectingparents,Disrespectful of Parents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,8,5,5,8,3,7,6,2,I don't know,I guess,"no, I hate writing","1,000",3,1
R_1ohbqQzAcHRmnM7,1,1,1,1,31,4,1,NA,American,English,5,6,5,1,1,1,3,2,NA,NA,NA,NA,50,Hate / Violence / No compassion / Lying / Arrogant / Evil / I'll will towards others / Cruelty / War / Poverty ,Hate,Hatred,Violence,Violence,Nocompassion,No Compassion,Lying,Dishonesty,Arrogant,Arrogance,Evil,Evil,I'llwilltowardsothers,Malice,Cruelty,Cruelty,War,War,Poverty,Poverty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,7,7,1,4,6,7,4,3,How much people trust others of the same background.,"Yes, they were all respectful.",I think you covered everything.,5000,3,7
R_1OiSD9L5APMwTWi,1,1,3,2,55,6,1,NA,American,English,10,1,1,1,1,1,3,2,NA,NA,NA,NA,50,cruelty / murder / adultery / homosexuality / theft / ingratitude / drunkenness / selfishness / betrayal / lack of faith / lack of trust in God,cruelty,Cruelty,murder,Murder,adultery,Adultery,homosexuality,Homosexuality,theft,Theft,ingratitude,Ungratefulness,drunkenness,Drugs/Alcohol,selfishness,Selfishness,betrayal,Disloyalty,lackoffaith,Atheism,lackoftrustinGod,Untrusting (God),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,8,7,5,8,7,9,10,3,Belief system and trust,"Mostly, although in at least one question ""god"" was not capitalized.",No,1780,3,3
R_1onnzjKscvXjPeJ,0,0,2,2,33,4,1,NA,USA,English,9,3,3,1,1,1,3,2,NA,NA,NA,NA,50,Not being kind / Getting revenge / Not taking care of the poor / Not loving everyone  / Adultery / Stealing / Lying / Physical abuse / Not spending time in prayer / Not serving others,Notbeingkind,Unkind,Gettingrevenge,Revenge,Nottakingcareofthepoor,Ignoring the Poor,Notlovingeveryone,Unloving,Adultery,Adultery,Stealing,Theft,Lying,Dishonesty,Physicalabuse,Violence,Notspendingtimeinprayer,Not Praying,Notservingothers,Uncharitable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,7,7,7,4,10,10,4,Religious beliefs and it's affect on giving.,Yes,Not that I can think of.,785,2,7
R_1OvkLKZum8JxkXe,1,1,3,1,41,4,1,NA,American,English,7,5,5,1,1,1,3,2,NA,NA,NA,NA,50,theft / murder / rape / abortion / showing favor for another idol / not attending services / infidelity / hatred / disrespecting others / disrespecting yourself / ,theft,Theft,murder,Murder,rape,Rape,abortion,Abortion,showingfavorforanotheridol,Idolatry,notattendingservices,Sabbath Maintenance,infidelity,Infidelity,hatred,Hatred,disrespectingothers,Disrespectful,disrespectingyourself,Disrespectful (Self),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,9,2,8,7,6,9,8,1,How strong a belief I have in God?,Yes,No,210,3,5
R_1PdQvuOFKDpXEDf,1,1,3,2,27,4,1,NA,American,English,1,3,1,1,1,1,3,2,NA,NA,NA,NA,50,Animal cruelty / Child abuse / Violence / Terrorism / Drug addiction / Adultery / Theft / Abortion / Selfishness / Disrespect,Animalcruelty,Abusing Animals,Childabuse,Child Abuse,Violence,Violence,Terrorism,Terrorism,Drugaddiction,Drugs/Alcohol,Adultery,Adultery,Theft,Theft,Abortion,Abortion,Selfishness,Selfishness,Disrespect,Disrespectful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,4,7,1,3,1,6,2,3,Whether people from different demographics are selfish or share.,Yes.,I don't think so.,1000,3,7
R_1pnE86PVW2R6rOS,0,1,3,1,75,4,1,NA,American,English,4,5,3,1,1,1,1,2,1,1,1,2,50,saying you do not believe in Him / Not honoring your parents / Killing some one / Stealing / Lying / having sex with someone else's wife / having false images / being dishonest / hurting others / not being a good person / ,sayingyoudonotbelieveinHim,Unfaithful,Nothonoringyourparents,Disrespectful of Parents,Killingsomeone,Murder,Stealing,Theft,Lying,Dishonesty,havingsexwithsomeoneelse'swife,Infidelity,havingfalseimages,Idolatry,beingdishonest,Dishonesty,hurtingothers,Violence,notbeingagoodperson,Immorality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,1,1,10,1,10,5,3,no idea,yes,no,24913,1,7
R_1qh745eWtyKP3BG,0,1,2,2,28,5,1,NA,American,English,4,5,5,1,1,2,1,2,1,1,2,3,50,being mean / being selfish / not helping others / unkindness / suffering / poverty / hateful Christians / killing / not doing your best / taking more than you earn,beingmean,Cruelty,beingselfish,Selfishness,nothelpingothers,Unhelpfulness,unkindness,Cruelty,suffering,Suffering,poverty,Poverty,hatefulChristians,Hateful Christians,killing,Murder,notdoingyourbest,Not Doing Your Best,takingmorethanyouearn,Greed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6,7,1,1,1,7,4,3,I don't know.,Yes.,No.,30000,3,4
R_1QiKgsdvFeiZRoR,1,0,2,1,31,5,2,NA,American,English,5,2,2,1,1,1,3,2,NA,NA,NA,NA,50,Stealing / Killing / Taking the name of the Lord in vain / Pride / Abusers of themselves with mankind / Lying / Gossip / False god worship / Lusting / Adultery / Hatred / Divorce,Stealing,Theft,Killing,Murder,TakingthenameoftheLordinvain,Blasphemy,Pride,Pride,Abusersofthemselveswithmankind,Self-Abuse,Lying,Dishonesty,Gossip,Gossip,Falsegodworship,Idolatry,Lusting,Lust,Adultery,Adultery,Hatred,Hatred,Divorce,Divorce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,2,8,9,10,10,10,3,Determine if participants are willing to share with others.,"Not a problem. However, it would be better to address God with a capital 'G' to show respect. A little 'g' as in god represents a fallen angel or devil.  Some people might be offended by that otherwise.",None at the moment.,200,2,7
R_1QRtKuen2jtuu9H,0,0,2,1,25,5,1,NA,USA,English ,9,5,1,1,1,1,3,2,NA,NA,NA,NA,0,Murder / Stealing / Lying / Cheating / Adultery / Swearing / Being cruel / Worshipping other gods / Denouncing god / War / Greed / ,Murder,Murder,Stealing,Theft,Lying,Dishonesty,Cheating,Cheating,Adultery,Adultery,Swearing,Cursing,Beingcruel,Cruelty,Worshippingothergods,Idolatry,Denouncinggod,Atheism,War,War,Greed,Greed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,4,6,5,4,7,6,3,The study wanted to see how a persons religion may affect their decision to share money with another or keep it for themselves,Yes it was fine,No,1000,2,6
R_1r2EIU18HgXNrhj,0,0,1,1,39,5,1,NA,Italian American ,English ,7,7,5,1,1,1,2,2,1,1,1,2,50,Dishonesty  / Cheating / Stealing / Murder  / Rape / Child Abuse / Torture  / Hatred / Intolerance  / Bigotry ,Dishonesty,Dishonesty,Cheating,Cheating,Stealing,Theft,Murder,Murder,Rape,Rape,ChildAbuse,Child Abuse,Torture,Torture,Hatred,Hatred,Intolerance,Intolerance,Bigotry,Bigotry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,None ,9,2,3,10,2,10,5,5,What people believe and how they act,"Yes, very much so",No,100,3,4
R_1rNtJDgC4bQXFA8,1,0,3,1,28,6,3,NA,US,english,4,3,3,1,1,1,3,2,NA,NA,NA,NA,50,sin / hate / evil / lies / cheating / murder / adultery / stealing / assault / dishonesty,sin,Sin,hate,Hatred,evil,Evil,lies,Dishonesty,cheating,Cheating,murder,Murder,adultery,Adultery,stealing,Theft,assault,Violence,dishonesty,Dishonesty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,3,9,6,6,6,7,3,no idea,yes,no,9000,3,7
R_20THexqazpeQXx5,0,0,4,2,50,6,1,NA,American,English,10,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,murder / bullying / selfishness / being unkind / stealing / adultery / disrespecting parents/elders / rape / cruelty / hate / intolerance ,murder,Murder,bullying,Bullying,selfishness,Selfishness,beingunkind,Cruelty,stealing,Theft,adultery,Adultery,disrespectingparents,Disrespectful of Parents,elders,Disrespectful,rape,Rape,cruelty,Cruelty,hate,Hatred,intolerance,Intolerance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,8,6,7,6,8,9,7,3,Something to do with beliefs and cognition,Yes.,Not that I can think of,970,3,NA
R_22t3qYN7g1OH92o,1,1,2,1,56,6,1,NA,USA,English,10,3,6,1,1,1,3,2,NA,NA,NA,NA,50,vanity  hubris  greed mean people  wars  starvation  pedophelia  homicide  worship a false idol   dispespect,vanity,Vanity,hubris,Pride,greed,Greed,meanpeople,Cruelty,wars,War,starvation,Hunger,pedophelia,Pedophilia,homicide,Murder,worshipafalseidol,Idolatry,dispespect,Disrespectful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,4,7,7,7,2,8,5,4,if people walk the walk,yes,no,650,2,5
R_24dZyBuSqgAY841,1,0,3,2,30,5,2,NA,Black,English,6,4,3,1,1,3,2,1,2,1,3,2,0,Cussing bad person parent drinking drugs carrying guns harming people driving recklessly,Cussing,Cursing,badpersonparent,Bad Person/Parent,drinking,Drugs/Alcohol,drugs,Drugs/Alcohol,carryingguns,Guns,harmingpeople,Violence,drivingrecklessly,Bad Driving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,3,4,5,3,2,3,3,4,If people like to give to others,Yes,No,20,1,7
R_25vzBy5L9ptuc3Y,0,0,1,1,25,5,1,NA,United States of America ,English,6,4,4,1,1,1,3,2,NA,NA,NA,NA,50,Cheating / Drugs / Lies  / Un-Welcoming / Profanity / Not Caring  / Not Giving  / Stealing / Giving Up  / Not Praying  / Un Helpful,Cheating,Cheating,Drugs,Drugs/Alcohol,Lies,Dishonesty,Un-Welcoming,Unwelcoming,Profanity,Cursing,NotCaring,Apathy,NotGiving,Selfishness,Stealing,Theft,GivingUp,Giving Up,NotPraying,Not Praying,UnHelpful,Unhelpfulness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,7,2,2,1,6,3,1,"On the Belief of God, and perhaps the importance of sharing.","I believe that the way that you asked the questions was very respectful, and allowed everyone to be entitled to their own opinion (bellief). ","I think as far as the study was focused, (if was to be on beliefs in god) you covered a wide range of how differnt peiople believe and pray as well as wehy they do. ",10,1,6
R_26b4xDgsUb2AV35,1,1,4,2,55,4,1,NA,American,English,6,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lying / Using God's name in vain / Adultery / Abortion / Coveting / Dishonoring your parents / Stealing / Cheating / Murder / Idols,Lying,Dishonesty,UsingGod'snameinvain,Blasphemy,Adultery,Adultery,Abortion,Abortion,Coveting,Covetousness,Dishonoringyourparents,Disrespectful of Parents,Stealing,Theft,Cheating,Cheating,Murder,Murder,Idols,Idolatry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,1,9,10,10,10,10,4,Your beliefs. Not sure what the other stuff was about.,Yes,No,847,3,NA
R_27CLMYy00AcMdS1,0,0,3,1,61,5,1,NA,USA,English,7,2,2,1,1,1,3,2,NA,NA,NA,NA,50,sin / pride / selfishness / disobedience / hate / murder / lying / coveting / dishonoring parents / idolatry /  / ,sin,Sin,pride,Pride,selfishness,Selfishness,disobedience,Disobedience,hate,Hatred,murder,Murder,lying,Dishonesty,coveting,Covetousness,dishonoringparents,Disrespectful of Parents,idolatry,Idolatry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,1,7,10,9,10,10,4,how religious beliefs affect generosity,yes,no,2000,3,6
R_27eve2N0BXTRPtI,0,0,2,1,64,6,1,NA,USA,English,9,4,4,1,1,1,3,2,NA,NA,NA,NA,50,Worshipping money/material things / Idol worship / Harboring hatred for other people / Putting worldly concerns first / Cheating your fellow man / Stealing from your fellow man / Murdering your fellow man / Abusing those weaker than you / Haughtiness/Lack of humility (pride) / Failing to seek God in prayer / Sexual depravity,Worshippingmoney,Love of Money,materialthings,Materialism,Idolworship,Idolatry,Harboringhatredforotherpeople,Hatred,Puttingworldlyconcernsfirst,Materialism,Cheatingyourfellowman,Cheating,Stealingfromyourfellowman,Theft,Murderingyourfellowman,Murder,Abusingthoseweakerthanyou,Bullying,Haughtiness,Arrogance,Lackofhumility(pride),Pride,FailingtoseekGodinprayer,Not Praying,Sexualdepravity,Sexual Immorality,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,5,1,10,7,10,10,3,I am not sure what you are looking for.,Yes.,"You should separate ""Christians"" on your survey into Catholic, Protestant, or other-Christian. I was raised a Catholic, but at age 25, I became a ""born again"" Christian and switched to Protestantism; really interdenominational Christianity (other-Christian). The reason I do not attend services is I have become disabled in my latter years and am largely homebound. I do not miss the politicking and things that tend to go with organized churches. My belief in God is growing as I get older, outside of attending church services as it is.","1,519",4,1
R_27r0oK00vEEGf0M,0,0,1,2,40,6,1,NA,Slovak,Slovak,7,6,6,1,1,1,2,2,1,1,3,2,50,cheating / stealing / killing / fighting / overeating / hurting others / cursing / hurting animals / not helping those in need / ignoring poverty,cheating,Cheating,stealing,Theft,killing,Murder,fighting,Violence,overeating,Overeating,hurtingothers,Violence,cursing,Cursing,hurtinganimals,Abusing Animals,nothelpingthoseinneed,Uncharitable,ignoringpoverty,Ignoring the Poor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,3,10,2,3,1,3,2,1,my beliefs in God,"Yes, I think they were clear and made sense.",I do not think so.,300,3,5
R_28A7jXwoatb02Ij,0,0,1,2,38,5,1,NA,us,english,10,5,2,1,1,1,3,2,NA,NA,NA,NA,50,not loving one another / too much judgment / hate / killing / adultery / selfishness / gluttony / dishonesty / cruelty / stealing,notlovingoneanother,No Compassion,toomuchjudgment,Judgemental,hate,Hatred,killing,Murder,adultery,Adultery,selfishness,Selfishness,gluttony,Greed,dishonesty,Dishonesty,cruelty,Cruelty,stealing,Theft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,10,1,2,1,3,6,1,religion,yes,no,1000,2,7
R_28If7GPsirWwOmc,1,0,3,1,42,6,1,NA,USA,English,10,1,3,1,1,1,3,2,NA,NA,NA,NA,0,Murder / Rape / Stealing / Cheating / Lying / Dishonesty / Jealousy / Greed / Homosexuality / Child abuse,Murder,Murder,Rape,Rape,Stealing,Theft,Cheating,Cheating,Lying,Dishonesty,Dishonesty,Dishonesty,Jealousy,Jealousy,Greed,Greed,Homosexuality,Homosexuality,Childabuse,Child Abuse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,4,7,6,3,8,7,1,To see how people would react if they were paired with a person from a different religious background.,"Yes, I had no issues or problems with the questions.",Not that I can think of.,2500,1,7
R_29iydxNscZkcSRY,1,1,3,1,23,4,1,NA,usa,english,2,1,1,1,1,1,1,1,1,2,2,2,0,I dont have 10 things..... there is one one. Sin.,Idonthave10things.....thereisoneone.Sin.,Sin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,7,5,6,5,8,6,3,no clue,yes,no,100,3,4
R_29lWxfTobjkOIsd,0,0,1,1,30,6,1,NA,American,English,7,1,1,1,1,1,3,2,NA,NA,NA,NA,50,Murder / Lying / Stealing / Cheating / Pornography / Hurting others / Selfishness / Self harm / Laziness / Idleness / Bigotry,Murder,Murder,Lying,Dishonesty,Stealing,Theft,Cheating,Cheating,Pornography,Pornography,Hurtingothers,Violence,Selfishness,Selfishness,Selfharm,Self-Abuse,Laziness,Laziness,Idleness,Laziness,Bigotry,Bigotry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,9,2,8,8,8,10,10,5,How money will be shared when a person has similar background to mine,Yes,No,1200,3,2
R_2a8eET1rOMobQXG,1,1,3,2,36,5,1,NA,American,English,8,5,6,1,1,1,3,2,NA,NA,NA,NA,50,stealing / killing people / being gluttonous / cheating / being unkind / running people off the road / lying / not helping others / taking his name in vain / swearing,stealing,Theft,killingpeople,Murder,beinggluttonous,Greed,cheating,Cheating,beingunkind,Cruelty,runningpeopleofftheroad,Running People off the Road,lying,Dishonesty,nothelpingothers,Unhelpfulness,takinghisnameinvain,Blasphemy,swearing,Cursing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,9,1,7,8,8,10,9,3,I don't know.,Yes.,No.,500,2,5
R_2aKqgyU8usAJZBC,0,0,4,2,60,4,1,NA,American,English,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hate / Unkindness / Lying / Stealing / Killing / Cheating / Impure thoughts / Disrespecting others / Judging others / Revenge / ,Hate,Hatred,Unkindness,Cruelty,Lying,Dishonesty,Stealing,Theft,Killing,Murder,Cheating,Cheating,Impurethoughts,Impure Thoughts,Disrespectingothers,Disrespectful,Judgingothers,Judgemental,Revenge,Revenge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,Catholic,10,1,5,10,10,10,10,3,Beliefs,Yes,No,300,1,NA
R_2aLyozk4cQUe1m8,0,1,1,1,26,6,1,NA,American,English,4,6,3,1,1,1,3,2,NA,NA,NA,NA,50,adultery / greed / murder / stealing / premarital sex / cheating / dishonesty / poor ethics / poor morals / violence / war / bullying / inequality / racism / ,adultery,Adultery,greed,Greed,murder,Murder,stealing,Theft,premaritalsex,Premarital Sex,cheating,Cheating,dishonesty,Dishonesty,poorethics,Immorality,poormorals,Immorality,violence,Violence,war,War,bullying,Bullying,inequality,Inequality,racism,Racism,NA,NA,NA,NA,NA,NA,2,NA,8,NA,3,3,5,3,2,8,6,2,Beliefs and how that relates to a persons philanthropic efforts ,Yes,No,200,2,3
R_2bWfkxt8avdsqAn,1,1,1,1,48,5,1,NA,USA,English,7,3,4,1,1,1,3,2,NA,NA,NA,NA,50,Murder / Rape / Incest / Theft / Idolatry / Swearing / Sloth / Adultry / Avarice / Pride / Gluttony,Murder,Murder,Rape,Rape,Incest,Incest,Theft,Theft,Idolatry,Idolatry,Swearing,Cursing,Sloth,Laziness,Adultry,Adultery,Avarice,Greed,Pride,Pride,Gluttony,Greed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,4,9,1,2,2,4,7,1,No idea at all,Yes,No,12000,2,7
R_2c5k5GvOIdDDhij,0,0,4,1,30,5,1,NA,American,English,6,7,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,rape / murder / drunkenness / cheating on spouse / molestation / drunk driving / lying / stealing / gluttony / mistreating workers,rape,Rape,murder,Murder,drunkenness,Drugs/Alcohol,cheatingonspouse,Infidelity,molestation,Rape,drunkdriving,Drugs/Alcohol,lying,Dishonesty,stealing,Theft,gluttony,Greed,mistreatingworkers,Cruelty to Workers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,4,6,5,3,2,5,3,3,not sure,yes,no,100,2,NA
R_2c5yJSb4U0UEAtP,0,0,2,1,31,4,1,NA,American,English,6,5,4,1,1,1,3,2,NA,NA,NA,NA,50,Stealing / killing / Lying / Greed / Hatred / Not helping / Taking advantage / Cheating / Wrong Doing / Hurting Others,Stealing,Theft,killing,Murder,Lying,Dishonesty,Greed,Greed,Hatred,Hatred,Nothelping,Unhelpfulness,Takingadvantage,Exploitation,Cheating,Cheating,WrongDoing,Immorality,HurtingOthers,Violence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,7,7,5,3,9,5,3,Religious beliefs,Yes,Not that I can think of,4500,3,4
R_2CIGFfgHaI9xU3c,0,1,3,2,23,4,2,NA,African American,English,1,7,7,1,1,1,2,2,1,1,3,2,50,sin / chaos / negativity / violence / guns / corruption / self center / greed / lying / atheist,sin,Sin,chaos,Chaos,negativity,Negativity,violence,Violence,guns,Guns,corruption,Corruption,selfcenter,Egocentrism,greed,Greed,lying,Dishonesty,atheist,Atheism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,1,7,10,10,10,10,5,comparisions,yes,no,5000,1,5
R_2CIyEXXq9qvz7Cj,1,1,4,2,29,4,1,NA,American,English,6,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pride, murder, greed, hate, bullying, selfishness, laziness, apathy, rape, complaining, materialism, lies.",Pride,Pride,murder,Murder,greed,Greed,hate,Hatred,bullying,Bullying,selfishness,Selfishness,laziness,Laziness,apathy,Apathy,rape,Rape,complaining,Complaining,materialism,Materialism,lies.,Dishonesty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"I have not changed religions, but had given up on religion altogether for a period of time.",1,NA,9,6,7,10,9,10,10,4,I believe that this study was to examine a participant's viewpoints and thinking ability.,"Yes, the questions were easy to understand, and thoughtful.","We listed things that displeased God, but maybe list things that pleases Him also. Or ask for specifics on why we believe what we believe.",700,3,NA
R_2CQjaP98ESdQgxx,0,0,4,1,27,4,1,NA,american,english,4,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,stealing / adultry / envy / jealousness / hatred / loathing / sloth / glutteny / premartial sex / discrimination / living immoraly ,stealing,Theft,adultry,Adultery,envy,Envy,jealousness,Jealousy,hatred,Hatred,loathing,Loathing,sloth,Laziness,glutteny,Greed,premartialsex,Premarital Sex,discrimination,Discrimination,livingimmoraly,Immorality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,9,8,1,10,3,8,5,3,i have no idea something with religon,yes,no,7200,2,NA
R_2CrbUxtMoAA8bt4,0,0,2,2,47,2,1,NA,American,English,1,1,1,1,1,1,3,2,NA,NA,NA,NA,50,sin / adultery / vanity / lies / idolatry / Hollywood / murder / The Koran / Islam / nastiness / hate / racism / KKK / BLM /  /  / ,sin,Sin,adultery,Adultery,vanity,Vanity,lies,Dishonesty,idolatry,Idolatry,Hollywood,Hollywood,murder,Murder,TheKoran,The Koran,Islam,Islam,nastiness,Cruelty,hate,Hatred,racism,Racism,KKK,Ku Klux Klan,BLM,BLM,NA,NA,NA,NA,NA,NA,2,NA,8,NA,10,2,3,9,7,10,6,5,Religious beliefs,yes,no,200,3,6
R_2Cs3s7tBm5tRaie,0,1,4,1,23,4,5,NA,American,English,5,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,No focus / Bad testimony / Faithlessness / Spite / Pain / Sin / Coldness / War / Suffering / Pride /  / ,Nofocus,Unfocused,Badtestimony,Dishonesty,Faithlessness,Atheism,Spite,Malice,Pain,Pain,Sin,Sin,Coldness,Coldness,War,War,Suffering,Theft,Pride,Pride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,7,3,8,7,6,10,9,4,A link between religious belief and attention to detail?,Yes,Not sure,1800,3,NA
R_2CwjoYrhUo7MKPZ,0,0,3,1,33,6,1,NA,American,English,8,5,2,1,1,1,3,2,NA,NA,NA,NA,0,Murder / Rape / Stealing / Dishonesty / Assault / Hurting others / Not contributing / Verbal assault / Name calling / Being mean,Murder,Murder,Rape,Rape,Stealing,Theft,Dishonesty,Dishonesty,Assault,Violence,Hurtingothers,Violence,Notcontributing,Not Contributing,Verbalassault,Verbal Abuse,Namecalling,Insulting,Beingmean,Cruelty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,7,3,1,10,1,9,1,1,To see if we would share with someone of similar religion.,Yes,No,50000,1,6
R_2dfFUqU6DWd2S1T,0,1,3,2,55,5,1,NA,American,english,5,7,4,1,1,1,3,2,NA,NA,NA,NA,50,"unkindness, animal cruelty, pollution, intolerance, murder, lying, bragging, envy, wastefulness, laziness ",unkindness,Unkind,animalcruelty,Abusing Animals,pollution,Environment,intolerance,Intolerance,murder,Murder,lying,Dishonesty,bragging,Boastful,envy,Envy,wastefulness,Wastefulness,laziness,Laziness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,modified or reduced,9,I don't believe as fully,3,9,2,4,2,3,3,1,how religious faith influences decision to trust,yes,no,1000,3,6
